Latitude,Longitude,Time,Date,Year,Speed,Satellites_in_view,Connected_Satellites,Satellites_Used,color
44.728351,-92.890120,01:37:49,September 16th, 2021,1.031564 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728341,-92.890129,01:37:50,September 16th, 2021,1.853852 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728341,-92.890129,01:37:51,September 16th, 2021,0.06296801 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728341,-92.890129,01:37:52,September 16th, 2021,0.687092 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728346,-92.890129,01:37:53,September 16th, 2021,1.263064 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728346,-92.890129,01:37:54,September 16th, 2021,0.8185841 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728346,-92.890129,01:37:55,September 16th, 2021,1.329736 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728341,-92.890139,01:37:56,September 16th, 2021,0.272244 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728341,-92.890139,01:37:56,September 16th, 2021,0.272244 km/h,10,6,[10/32/23/24/18/21/8],'b'
44.728341,-92.890139,01:37:56,September 16th, 2021,0.272244 km/h,10,6,[10/32/23/24/18/21],'b'
44.728346,-92.890139,01:37:57,September 16th, 2021,0.744504 km/h,10,6,[10/32/23/24/18/21],'b'
44.728346,-92.890129,01:37:58,September 16th, 2021,0.968596 km/h,10,6,[10/32/23/24/18/21],'b'
44.728346,-92.890139,01:37:59,September 16th, 2021,0.613012 km/h,10,6,[10/32/23/24/18/21],'b'
44.728341,-92.890139,01:38:00,September 16th, 2021,2.063128 km/h,10,6,[10/32/23/24/18/21],'b'
44.728341,-92.890139,01:38:01,September 16th, 2021,0.875996 km/h,10,6,[10/32/23/24/18/21],'b'
44.728346,-92.890139,01:38:02,September 16th, 2021,0.216684 km/h,10,6,[10/32/23/24/18/21],'b'
44.728346,-92.890139,01:38:02,September 16th, 2021,0.216684 km/h,10,7,[10/32/23/24/18/21],'b'
44.728346,-92.890139,01:38:02,September 16th, 2021,0.216684 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728351,-92.890139,01:38:03,September 16th, 2021,1.557532 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728351,-92.890139,01:38:04,September 16th, 2021,1.026008 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728351,-92.890139,01:38:05,September 16th, 2021,0.924148 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728355,-92.890129,01:38:06,September 16th, 2021,0.705612 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728360,-92.890129,01:38:07,September 16th, 2021,1.696432 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890129,01:38:08,September 16th, 2021,2.170544 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728370,-92.890129,01:38:09,September 16th, 2021,1.283436 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728370,-92.890129,01:38:10,September 16th, 2021,0.903776 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890129,01:38:11,September 16th, 2021,0.094452 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890120,01:38:12,September 16th, 2021,0.9815599 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890120,01:38:13,September 16th, 2021,0.057412 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890120,01:38:14,September 16th, 2021,0.548192 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890129,01:38:15,September 16th, 2021,0.346324 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890129,01:38:16,September 16th, 2021,0.224092 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890129,01:38:17,September 16th, 2021,0.340768 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890139,01:38:18,September 16th, 2021,0.600048 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890129,01:38:19,September 16th, 2021,0.133344 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728365,-92.890139,01:38:20,September 16th, 2021,0.042596 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728360,-92.890139,01:38:21,September 16th, 2021,0.853772 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728360,-92.890139,01:38:22,September 16th, 2021,0.081488 km/h,10,7,[10/32/23/24/18/21/8],'b'
44.728360,-92.890139,01:38:23,September 16th, 2021,0.553748 km/h,10,7,[10/32/23/24/18/21/8],'b'
